Object,g_mag,Porb_h,Teff_K,Teff_err,Mass_Msun,Mass_err,Radius_Rsun,Radius_err,R_RCO,R_RCO_err,R_RHe,R_RHe_err,Ref
CSS 080502,17.08,3.587,17838,482,0.4756,0.0036,0.01749,0.00028,1.06,0.01,0.98,0.01,1
CSS 09704,18.41,3.756,29969,679,0.4164,0.0356,0.02521,0.00170,1.25,0.08,1.05,0.08,1
CSS 21357,17.29,5.962,15909,285,0.6579,0.0097,0.01221,0.00046,0.98,0.03,,,1
CSS 40190,18.16,3.123,14901,731,0.4817,0.0077,0.01578,0.00039,1.02,0.03,0.95,0.03,1
CSS 41177A,17.27,2.784,22497,60,0.3780,0.0230,0.02224,0.00041,1.09,0.02,0.98,0.02,2
CSS 41177B,17.27,2.784,11864,281,0.3160,0.0110,0.02066,0.00042,1.05,0.02,0.97,0.02,2
GK Vir,16.81,8.264,50000,673,0.5618,0.0142,0.01700,0.00030,0.96,0.01,,,3
NN Ser,16.43,3.122,63000,3000,0.5354,0.0117,0.02080,0.00020,1.00,0.01,,,4
QS Vir,14.66,3.618,14220,350,0.7816,0.0130,0.01068,0.00007,1.00,0.01,,,5
RR Cae,14.57,7.289,7540,175,0.4475,0.0015,0.01568,0.00009,1.03,0.01,1.00,0.01,1
SDSS J0024+1745,18.71,4.801,8272,580,0.5340,0.0090,0.01398,0.00070,1.01,0.05,,,1
SDSS J0106−0014,18.14,2.040,13957,531,0.4406,0.0144,0.01747,0.00083,1.05,0.01,1.00,0.01,1
SDSS J0110+1326,16.53,7.984,24569,385,0.4656,0.0091,0.01840,0.00036,1.07,0.02,0.99,0.02,1
SDSS J0138−0016,18.84,1.746,3570,100,0.5290,0.0100,0.01310,0.00030,0.99,0.02,,,6
SDSS J0314+0206,16.95,7.327,46783,7706,0.5964,0.0088,0.01594,0.00022,1.01,0.01,,,1
SDSS J0857+0342,17.95,1.562,37400,400,0.5140,0.0490,0.02470,0.00080,1.43,0.06,1.08,0.06,7
SDSS J1021+1744,19.51,3.369,10644,1721,0.5338,0.0038,0.01401,0.00032,1.00,0.02,,,1
SDSS J1028+0931,16.40,5.641,12221,765,0.4146,0.0036,0.01768,0.00020,1.07,0.01,1.02,0.01,1
SDSS J1123−1155,17.99,18.459,10210,87,0.6050,0.0079,0.01278,0.00037,0.99,0.02,,,1
SDSS J1210+3347,16.94,2.988,6000,200,0.4150,0.0100,0.01590,0.00050,1.02,0.03,0.99,0.03,8
SDSS J1212−0123,16.77,8.061,17707,35,0.4393,0.0022,0.01680,0.00030,1.00,0.01,0.94,0.01,3
SDSS J1307+2156,18.25,5.192,8500,500,0.6098,0.0031,0.01207,0.00061,0.96,0.04,,,1
SDSS J1329+1230,17.26,1.943,12491,312,0.3916,0.0234,0.01800,0.00052,1.04,0.02,0.99,0.02,1
SDSS J2235+1428,18.59,3.467,20837,773,0.3977,0.0220,0.01975,0.00050,1.08,0.02,0.98,0.02,1
V471 Tau,10.04,12.508,34500,1000,0.8400,0.0500,0.01070,0.00070,1.06,0.06,,,9
WD 1333+005,17.41,2.927,7740,73,0.4356,0.0016,0.01570,0.00036,1.02,0.02,0.98,0.02,1
