Short_Name,Teff,Teff_err,R,d,A55,M1,M1_err,rho1,vgr1,vgr1_err,dR1,dM1,M2,M2_err,rho2,vgr2,vgr2_err,dR2,dM2
0003+1713,16485,575,0.0137,107,0.007,0.60,0.05,0.30,28.1,2.1,1.9,1.1,0.65,0.03,0.53,30.5,1.3,5.8,5.5
0042-5820,10305,160,0.0123,60,0.003,0.69,0.05,0.29,35.8,2.2,2.9,3.4,0.68,0.04,0.34,35.7,1.8,2.7,2.4
0115+1534,25075,815,0.0129,105,0.007,0.74,0.05,0.40,36.8,2.2,6.3,5.7,0.79,0.05,0.47,39.3,2.1,9.3,9.0
0125-7619,23395,925,0.0137,176,0.011,0.57,0.05,0.34,26.6,2.3,-2.5,-3.4,0.61,0.04,0.49,28.6,1.7,1.9,1.6
0156-4722,12410,310,0.0137,84,0.004,0.54,0.03,0.25,25.3,1.4,-3.0,-3.8,0.56,0.03,0.34,26.3,1.3,-0.4,-0.7
0207+0355,16820,840,0.0076,191,0.013,1.09,0.10,0.70,90.9,5.5,4.1,4.5,1.05,0.08,0.79,88.5,4.0,2.4,1.9
0209-0140,9350,225,0.0127,56,0.004,0.62,0.04,0.65,30.9,1.3,0.9,0.8,0.64,0.03,0.69,32.4,1.2,2.3,1.9
0319-7254,13270,435,0.0133,97,0.005,0.54,0.04,0.32,25.4,1.6,-5.4,-5.2,0.55,0.03,0.43,26.3,1.3,-3.3,-3.3
0439-0405,8060,140,0.0132,53,0.003,0.57,0.04,0.35,27.6,1.8,0.2,-0.4,0.60,0.04,0.45,29.1,1.5,2.7,2.3
0608-0059,17155,775,0.0046,62,0.004,1.31,0.06,0.75,179.6,7.0,2.2,4.4,1.31,0.07,0.74,179.5,7.1,2.2,4.5
0608-5301,9795,160,0.0133,58,0.003,0.57,0.04,0.34,27.3,1.8,-0.2,-0.7,0.60,0.04,0.43,28.8,1.3,2.3,1.7
0621-5456,16550,570,0.0135,93,0.005,0.65,0.05,0.28,30.5,2.3,4.7,5.4,0.62,0.03,0.47,29.3,1.4,3.1,3.3
0653+0239,6410,130,0.0147,51,0.003,0.46,0.07,0.23,20.3,2.6,-2.0,-3.2,0.54,0.05,0.38,23.4,1.7,4.5,4.1
0715-2342,14455,360,0.0136,112,0.006,0.61,0.04,0.28,28.8,1.7,3.0,2.6,0.63,0.03,0.39,29.7,1.2,4.8,4.5
